Bladet innehåller en tabell.,,,,,
Gruppkod,Kommunkod,Kommunnamn, Huvudgrupp,Kommungrupp 2023,
A1,0180,Stockholm,Storstäder och storstadsnära kommuner,Storstäder,
A1,1280,Malmö,Storstäder och storstadsnära kommuner,Storstäder,
A1,1480,Göteborg,Storstäder och storstadsnära kommuner,Storstäder,
A2,0114,Upplands Väsby,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0115,Vallentuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0117,Österåker,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0120,Värmdö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0123,Järfälla,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0125,Ekerö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0126,Huddinge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0127,Botkyrka,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0128,Salem,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0136,Haninge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0138,Tyresö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0139,Upplands-Bro,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0160,Täby,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0162,Danderyd,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0163,Sollentuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0182,Nacka,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0183,Sundbyberg,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0184,Solna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0186,Lidingö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0187,Vaxholm,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0191,Sigtuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
